               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.026201,           0.0093992,          0.00064074,             0.79097,             0.67122,             0.73252,             0.45602,            0.040477,           0.0088714,           0.0013161,            0.006931,            0.006931,            0.006931
                 126,            0.023244,           0.0093394,           0.0007858,             0.79398,             0.66693,             0.73298,             0.46019,            0.042158,           0.0088587,          0.00070227,           0.0069063,           0.0069063,           0.0069063
                 127,            0.025647,           0.0095394,          0.00069805,             0.80125,             0.66379,             0.73227,             0.46959,            0.040763,           0.0090242,          0.00060694,           0.0068815,           0.0068815,           0.0068815
                 128,            0.023643,           0.0093629,          0.00098616,              0.8292,             0.61586,             0.72098,             0.44683,            0.041089,           0.0091343,          0.00092679,           0.0068568,           0.0068568,           0.0068568
                 129,            0.024455,           0.0088499,          0.00057823,              0.7889,             0.68179,             0.72741,             0.47215,            0.039045,           0.0088336,           0.0016248,            0.006832,            0.006832,            0.006832
                 130,            0.024339,           0.0085338,           0.0012434,             0.78477,             0.64665,             0.71577,             0.45701,            0.038359,           0.0091456,           0.0018975,           0.0068073,           0.0068073,           0.0068073
                 131,            0.024709,             0.00918,          0.00069635,             0.74708,             0.66203,             0.72137,             0.45505,            0.038385,           0.0089599,           0.0013233,           0.0067825,           0.0067825,           0.0067825
                 132,            0.024452,           0.0093498,          0.00099801,             0.79364,             0.66151,             0.72752,             0.45595,            0.037568,           0.0091802,          0.00058728,           0.0067577,           0.0067577,           0.0067577
                 133,            0.024966,           0.0085739,          0.00070692,             0.77553,             0.66273,             0.71562,             0.44772,            0.039547,           0.0092093,          0.00052591,            0.006733,            0.006733,            0.006733
                 134,            0.023658,           0.0089109,          0.00087759,             0.81726,             0.69013,              0.7241,             0.46503,            0.039171,            0.008882,          0.00082313,           0.0067082,           0.0067082,           0.0067082
                 135,            0.023163,           0.0088557,           0.0012399,             0.72284,             0.68544,             0.71555,             0.45675,             0.03878,           0.0090606,           0.0010768,           0.0066835,           0.0066835,           0.0066835
                 136,             0.02318,           0.0082672,           0.0017884,             0.70939,             0.71749,             0.73571,              0.4699,            0.037853,           0.0091731,           0.0013196,           0.0066587,           0.0066587,           0.0066587
                 137,            0.023797,           0.0090711,           0.0013332,             0.83582,             0.64719,             0.73092,             0.45697,            0.038645,           0.0097221,          0.00091127,            0.006634,            0.006634,            0.006634
                 138,            0.022481,           0.0092497,          0.00094155,             0.87634,             0.63092,             0.73827,             0.45658,            0.038948,           0.0092881,           0.0012469,           0.0066092,           0.0066092,           0.0066092
                 139,            0.022573,           0.0092722,           0.0020771,             0.82698,             0.65864,             0.72461,             0.45519,            0.040054,           0.0093341,           0.0034016,           0.0065845,           0.0065845,           0.0065845
                 140,            0.023982,           0.0088488,          0.00098394,             0.84839,             0.64061,             0.72197,             0.44747,            0.040546,           0.0096301,           0.0027874,           0.0065598,           0.0065598,           0.0065598
                 141,            0.023536,           0.0087956,          0.00098493,             0.82498,             0.66187,             0.71674,             0.43877,            0.040039,           0.0091724,           0.0022221,            0.006535,            0.006535,            0.006535
                 142,            0.024023,           0.0096202,          0.00097809,             0.82498,             0.65669,             0.72833,             0.46617,            0.039701,           0.0084952,           0.0023967,           0.0065102,           0.0065102,           0.0065102
                 143,            0.023652,           0.0090997,           0.0008237,              0.8266,             0.67885,             0.71251,             0.44864,            0.040135,           0.0088119,           0.0030585,           0.0064855,           0.0064855,           0.0064855
                 144,            0.023647,           0.0086662,          0.00089163,             0.82078,             0.69053,             0.74009,             0.46202,            0.039355,           0.0088009,           0.0025673,           0.0064608,           0.0064608,           0.0064608
                 145,             0.02331,           0.0090409,          0.00082017,             0.81875,             0.66425,             0.73565,             0.47233,            0.038647,           0.0088956,           0.0020088,            0.006436,            0.006436,            0.006436
                 146,             0.02427,           0.0088907,            0.001518,             0.78505,             0.72147,             0.73794,             0.46758,            0.039285,            0.008849,            0.002666,           0.0064112,           0.0064112,           0.0064112
                 147,            0.023339,           0.0085075,           0.0012297,             0.83774,             0.69937,              0.7402,             0.45978,            0.039023,           0.0085732,             0.00236,           0.0063865,           0.0063865,           0.0063865
